実行日時,系統,ケース,構成,要求モデル,解決モデル,試行,LLM呼出数,入力tok,出力tok,確定額,通貨,費用欠測,所要秒(API),所要秒(実測),fallback,結果,備考
2026-09-22T08:55:50,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:56:10,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:56:30,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:56:50,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,4,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:57:06,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,5,1,1864,1894,0.003880,USD,0,15.0,15.4,0,期待通り,unclear=0
2026-09-22T08:57:38,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,6,2,3922,3640,0.007482,USD,0,30.0,31.5,0,失敗,HTTP 409
2026-09-22T08:57:53,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,7,1,1864,2114,0.004290,USD,0,15.0,15.7,0,期待通り,unclear=0
2026-09-22T08:58:06,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,8,1,1864,1570,0.003202,USD,0,13.0,12.7,0,期待通り,unclear=0
2026-09-22T08:58:36,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,9,2,3904,3909,0.008016,USD,0,29.0,29.4,0,失敗,HTTP 409
2026-09-22T08:58:56,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,10,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:59:09,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,11,1,1864,1794,0.003650,USD,0,13.0,13.7,0,期待通り,unclear=0
2026-09-22T08:59:23,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,12,1,1864,1794,0.003650,USD,0,14.0,13.6,0,期待通り,unclear=0
2026-09-22T08:59:38,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,13,1,1864,1890,0.003842,USD,0,14.0,14.5,0,期待通り,unclear=0
2026-09-22T08:59:50,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,14,1,1864,1474,0.003010,USD,0,12.0,12.3,0,期待通り,unclear=0
2026-09-22T09:00:06,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,15,1,1864,1693,0.003448,USD,0,16.0,16.3,0,期待通り,unclear=0
2026-09-22T09:00:26,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,16,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:00:46,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,17,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:01:04,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,18,1,1864,1907,0.004280,USD,0,17.0,17.6,0,期待通り,unclear=1
2026-09-22T09:01:24,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,19,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:01:44,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,20,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:02:04,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,21,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:02:24,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,22,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:03:01,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,23,2,3917,4803,0.009806,USD,0,35.0,36.8,0,期待通り,unclear=1
2026-09-22T09:03:21,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,24,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:03:40,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,25,1,1864,2242,0.004546,USD,0,19.0,18.8,0,期待通り,unclear=0
2026-09-22T09:03:58,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,26,1,1864,2178,0.004418,USD,0,18.0,18.0,0,期待通り,unclear=0
2026-09-22T09:04:14,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,27,1,1864,1794,0.003650,USD,0,16.0,16.0,0,期待通り,unclear=0
2026-09-22T09:04:29,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,28,1,1864,1992,0.004046,USD,0,15.0,15.0,0,期待通り,unclear=0
2026-09-22T09:04:50,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,29,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T09:05:06,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,30,1,1864,2050,0.004162,USD,0,15.0,16.2,0,期待通り,unclear=0
