実行日時,系統,ケース,構成,要求モデル,解決モデル,試行,LLM呼出数,入力tok,出力tok,確定額,通貨,費用欠測,所要秒(API),所要秒(実測),fallback,結果,備考
2026-09-22T08:27:36,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,1,1,1868,2520,0.005508,USD,0,18.0,18.6,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:27:46,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,2,1,1868,1084,0.002232,USD,0,10.0,10.4,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:27:55,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,3,1,1868,896,0.001856,USD,0,9.0,8.7,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:28:10,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,4,1,1868,1814,0.003692,USD,0,15.0,14.9,0,期待通り,HTTP 200; unclear=1 業務状態変更なし
2026-09-22T08:28:21,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,5,1,1868,1216,0.002496,USD,0,11.0,11.3,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:28:40,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,6,1,1868,2112,0.004288,USD,0,19.0,18.4,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:28:56,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,7,1,1868,2113,0.004290,USD,0,16.0,16.2,0,期待通り,HTTP 409; 範囲外として拒否・業務状態変更なし
2026-09-22T08:29:08,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,8,1,1868,1432,0.002928,USD,0,12.0,11.6,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:29:23,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,9,1,1868,1812,0.003688,USD,0,14.0,14.8,0,期待通り,HTTP 200; unclear=1 業務状態変更なし
2026-09-22T08:29:37,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,10,1,1868,1600,0.003264,USD,0,14.0,14.1,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:29:53,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,11,1,1868,2112,0.004288,USD,0,16.0,16.2,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:30:20,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,12,2,3898,3343,0.007662,USD,0,27.0,27.0,0,期待通り,HTTP 409; 範囲外として拒否・業務状態変更なし
2026-09-22T08:30:28,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,13,1,1868,896,0.001856,USD,0,7.0,7.4,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:30:42,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,14,1,1868,1724,0.003540,USD,0,13.0,13.8,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:30:51,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,15,1,1868,1024,0.002112,USD,0,9.0,9.3,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:31:01,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,16,1,1868,1152,0.002368,USD,0,10.0,10.2,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:31:21,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,不明,17,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:31:39,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,18,1,1868,2496,0.005056,USD,0,18.0,17.8,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:31:57,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,19,1,1868,2176,0.004416,USD,0,18.0,18.2,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:32:11,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,20,1,1868,1596,0.003256,USD,0,14.0,13.7,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:32:31,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,不明,21,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:32:42,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,22,1,1868,1408,0.002880,USD,0,11.0,11.0,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:33:02,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,不明,23,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T08:33:20,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,24,1,1868,1874,0.003812,USD,0,17.0,17.2,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:33:29,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,25,1,1868,1025,0.002114,USD,0,9.0,9.6,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:33:42,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,26,1,1868,1432,0.002928,USD,0,13.0,12.8,0,期待通り,HTTP 200; unclear=0 業務状態変更なし
2026-09-22T08:34:17,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,27,2,1868,1233,不明,USD,1,15.0,35.2,0,失敗,HTTP 503
